Który mecz określano mianem Maracanaco?;Brazylia- Urugwaj;Brazylia- Włochy;Brazylia- Chile;Brazylia- Anglia
Ile osób obejrzało finał z 1950, Urugwaj-Brazylia 2:1?;199 854;189 854;149 854;139 854
Który z tych krajów NIE zdobył nigdy medali mistrzostw świata?;Dania;Chile;Szwecja;Turcja
Ile bramek na MŚ 2018 zdobyła Polska?;2;3;1;0
Na jakim etapie odpadła Rosja na MŚ 2018?;1/4;1/2;1/8;Faza grupowa
Na jakim etapie odpadła Portugalia na MŚ 2018?;1/8;1/4;1/2;Faza grupowa
Kto zdobył 3. miejsce na MŚ 2018?;Belgia;Anglia;Włochy;Brazylia
Kto był królem strzelców MŚ 2018?;Harry Kane;Kylian Mbappe;Romelu Lukaku;Yerry Mina
Kto zdobył 3. miejsce na MŚ 2014?;Holandia;Brazylia;Niemcy;Urugwaj
Ile drużyn zagra na Mundialu 2026?;48;32;40;36
Ile grup będzie liczyła faza grupowa MŚ 2026?;16;10;8;12
Rekordowe osiągnięcie afrykańskiej reprezentacji na MŚ to:;1/4;1/2;3.miejsce;finał
Ile reprezentacji uczestniczyło w el. MŚ 2022?;206;204;198;208
Z kim na MŚ 1938 mierzyła się Polska?;z Brazylią;z Węgrami;z Rumunią;z Włochami
Kiedy ostatni medal MŚ zdobyła Anglia?;1966;1974;1982;2018
Kiedy ostatni medal MŚ zdobyła Brazylia?;2002;2006;1998;1994
Ile punktów na MŚ 2002 zdobyła Polska?;3;4;6;2
Ile punktów na MŚ 2006 zdobyła Polska?;3;4;6;2
Ile punktów na MŚ 2018 zdobyła Polska?;3;4;6;2
Na jaki etapie odpadła Polska na MŚ 1986?;1/8;1/2;1/4;Faza grupowa
Ile meczów rozgrywa się na 32-zespołowym Mundialu?;64;80;72;56
Ile razy na Mundialu grała Islandia?;1;0;2;3
W którym roku rozegrano 1. Mistrzostwa Świata w piłce nożnej?;1930;1950;1896;1900
Kto został oficjalnym MVP Mundialu 2014?;Leo Messi;Thomas Muller;Robin van Persie;Mario Goetze
Kto został oficjalnym MVP Mundialu 2010?;Diego Forlan;Wesley Sneijder;David Villa;Thomas Muller
Gdzie odbywał się Mundial 2006?;Niemcy;Korea Płd.;Hiszpania;Francja
Jakim wynikiem zakończył się mecz otwarcia 2018 Rosja - Arabia Saudyjska?;5:0;5:1;4:0;4:1
Kto był pierwszym piłkarskim Mistrzem Świata (1930)?;Urugwaj;Włochy;Brazylia;Węgry
W którym roku na Mundialu po raz pierwszy zagrała reprezentacja Polski?;1938;1934;1950;1954
Jakim wynikiem zakończył się mecz otwarcia 2010 RPA - Meksyk?;1:1;2:1;1:0;1:2
Ile punktów zdobyła Korea Płn. na MŚ 2010?;0;1;3;4
Na których Mistrzostwach Świata królem strzelców został Grzegorz Lato?;1974;1978;1982;Na żadnych
Kto był trenerem reprezentacji Polski w 1974, kiedy to Biało-Czerwoni zajęli 3. miejsce na mundialu w RFN?;Kazimierz Górski;Andrzej Strejlau;Jacek Gmoch;Jerzy Engel
Który zawodnik zdobył najwięcej mundialowych goli na przestrzeni lat?;Miroslav Klose;Ronaldo Nazario;Pele;Gerd Mueller
Jaki wynik statystycznie najczęściej pada na Mundialu?;1:0;0:0;1:1;2:1
Za każdym razem do fazy pucharowej na MŚ w XXI wieku kwalifikowała się Brazylia oraz: ;Meksyk;Hiszpania;Francja;Anglia